loc_str,Long,Lat
Salou Catalonia SPAIN,41.0781462,1.1061034
"Atlantic Beach, Duval County Florida USA",30.3421793,-81.4213701
Assateague National Seashore Maryland USA,38.0654024,-75.5428393
Benidorm Alicante SPAIN,38.5374023,-0.1650151
"Figure Eight Island,  New Hanover County North Carolina USA",34.2688881,-77.7780499
"Surfside Beach, Horry  County South Carolina USA",33.6098592,-78.9951996
Apalachicola Bay  Florida USA,29.6689403,-85.0539026
Gnaraloo Western Australia AUSTRALIA,-23.9730662,113.3512281
"Hallandale Beach, Broward County Florida USA",25.9854849,-80.1569546
"Lake Ponchartain off Southshore Harbor, New Orleans Louisiana USA",30.0380591,-90.0177646
"South of Cocoa Beach, Brevard County Florida USA",28.3286305,-80.6596442
"Table Beach, Brevard County Florida USA",28.2666061,-80.6078321
Muizenberg Western Cape Province SOUTH AFRICA,-34.0977452,18.4665573
"Sunset Beach, Brunswick County North Carolina USA",33.8864629,-78.5496121
"Indialantic, Brevard County Florida USA",28.0875432,-80.5774922
"Teresita, Santa Cruz, Tenerife Canary Islands SPAIN",28.2931087,-16.8028586
"Paia Bay, Maui Hawaii USA",20.9175351,-156.3858972
Okaloosa Island Florida USA,30.3912328,-86.606899
"Masonboro Island, New Hanover County North Carolina USA",34.1345636,-77.9175196
"Manhattan Beach, Los Angeles County California USA",33.883779,-118.4622202
"Oceano Dunes State Beach, San Luis Obispo County California USA",35.0848895,-120.6588649
"Isle of Palms, Charleston County South Carolina USA",32.8009171,-79.7990842
"Middleton Point, Fleurieu Peninsula South Australia AUSTRALIA",-35.4999992,138.4912452
Horizontal Falls Western Australia AUSTRALIA,-16.3770659,123.9585033
"Cape Henlopen State Park, Sussex County Delaware USA",38.7856582,-75.103785
"Parsons Beach,  Fleurieu Peninsula South Australia AUSTRALIA",-35.6311654,138.4642758
Aichi Atsumi peninsula JAPAN,34.6445052,137.2255892
"West Beach, Galveston Texas USA",29.2000762,-94.943997
"Seven Mile Beach, Gerroa New South Wales AUSTRALIA",-34.8163547,150.7120399
Nerang River near Chevron Island Queensland AUSTRALIA,-27.9974283,153.4159745
Wallis Island Wallis and Futuna FRANCE,-13.2846738,-176.2765209
The Australian Shark and Ray Centre New South Wales AUSTRALIA,-32.7706273,151.9964183
"Juan Ponce de Leí_n Landing, Melbourne Beach, Brevard County Florida USA",28.010895,-80.5324865
"Elliston, Eyre Peninsula South Australia AUSTRALIA",-34.3333325,135.7412452
"Tybee Island, Chatham County Georgia USA",32.0066393,-80.8797456
"Coligny Beach, Hilton Head, Beaufort County South Carolina USA",32.1414846,-80.7532532
Simonstown Western Cape Province SOUTH AFRICA,-34.1817205,18.3855857
"South Passage, south of Coral Bay Western Australia AUSTRALIA",-32.3079649,115.7340643
Port Alfred Eastern Cape Province SOUTH AFRICA,-33.5848059,26.8518438
Tathra New South Wales AUSTRALIA,-36.737334,149.9314431
Off Dawesville Cut Western Australia AUSTRALIA,-32.606453,115.6307676
"Second Beach, Port St Johns Eastern Cape Province SOUTH AFRICA",-31.6409371,29.5277309
Delray Beach Florida USA,26.4560036,-80.1271936
Macarthur State Park Florida USA,26.824641,-80.0462287
Winkipop Beach Victoria AUSTRALIA,-38.3680831,144.2827665
"Santa Lucea Beach, South Hutchinson Island, St. Lucie County Florida USA",27.2073806,-80.1732662
Huahine Society Islands FRENCH POLYNESIA,-16.7863548,-151.0274872
"Goldsmith Beach, Yorke Peninsula South Australia AUSTRALIA",-35.1519942,137.6837824
Porpoise Bay South Island NEW ZEALAND,-46.6513514,169.1020173
Umina Beach New South Wales AUSTRALIA,-33.5191894,151.2950727
Garden Bay near Cosy Nook South Island NEW ZEALAND,-46.3339107,167.7068485
Off Miyako Island Okinawa Prefecture JAPAN,24.8127312,125.2207864
"Playa Brava, Turtle Bay Santa Cruz Island ECUADOR",-0.7078012,-90.3192453
"Lindí©ralique, HienghíÂne North Province NEW CALEDONIA",-20.6816368,164.97246
"Ninole Bay, Hawaii County Hawaii USA",19.9266175,-155.1576135
"Shelly Beach, near Port Macquarie New South Wales AUSTRALIA",-31.4561171,152.9279226
"Between  Makena & Molokini, Maui Hawaii USA",20.6323227,-156.4981593
"Riecks Point,  Campbelläó»s Beach,  New South Wales AUSTRALIA",-30.2379178,153.1434214
"Keawekapu Beach, Kihei, Maui Hawaii USA",20.7039072,-156.4485027
"Gleneden Beach, Lincoln County Oregon USA",44.8829958,-124.044214
"Trigg Beach, Perth Western Australia AUSTRALIA",-31.8781967,115.7497601
"Bay Head, Ocean County New Jersey USA",40.0691691,-74.0654956
"Kanaha Beach, Maui Hawaii USA",20.902652,-156.4462771
Turquoise Bay Western Australia AUSTRALIA,-22.0963883,113.8806896
"Little Island, near Hillarys Western Australia AUSTRALIA",-31.81236,115.7068967
South Narrabeen Beach New South Wales AUSTRALIA,-33.7105071,151.2948846
"Waiehu, Maui Hawaii USA",20.9239398,-156.5451633
"Pila'a Beach, Kaua'i Hawaii USA",22.2114905,-159.3659163
Miami Beach Florida USA,25.8102247,-80.2101824
"Albatros Point, near Jeffrey's Bay Eastern Cape Province SOUTH AFRICA",-34.0329727,24.9291392
Ashdod Southern District ISRAEL,31.8082144,34.5881134
"Panama City, Bay County Florida USA",30.2036321,-85.7434937
"Carlin Park, Jupiter, Palm Beach County Florida USA",26.9291055,-80.0713819
"Casino Beach, Pensacola, Escambia County Florida USA",30.3310737,-87.1448289
"New Smyrna Beach,  Volusia County Florida USA",29.0295263,-81.0249492
Key West Aquarium Florida USA,24.55907,-81.8095207
"St Augustine Beach, St Johns County Florida USA",29.8394984,-81.2903271
"Butterfly Beach, Montecito, Santa Barbara County California USA",34.4174022,-119.6520625
Catalina Channel California USA,33.3889062,-118.5950301
"Winterhaven Park,           Ponce Inlet, Volusia County Florida USA",29.1047098,-80.943784
Smiths New South Wales AUSTRALIA,-32.3842006,152.4719341
Pohoiki  Hawaii USA,19.4608327,-154.8556992
"Pillar Point, Half-Moon Bay, San Mateo County California USA",37.5044389,-122.5034309
"Makenat, Maui Hawaii USA",20.6544438,-156.4512548
"Ka'a Point, Maui Hawaii USA",20.6542174,-156.7227021
Folly Beach South Carolina USA,32.671218,-80.0193736
"Sanibel Island, Lee County Florida USA",26.4575459,-82.1663113
"Ulua Beach, Maui Hawaii USA",20.6903427,-156.4523715
Scotland Cay Abaco Islands BAHAMAS,26.6460733,-77.0819665
Compass Cay Exuma Islands BAHAMAS,24.2209206,-76.5495725
Grand Cay Abaco Islands BAHAMAS,27.2094321,-78.3365641
"Boa Viagem Beach, Recife Pernambuco BRAZIL",-8.1309239,-34.9155127
Queensberry Bay Eastern Cape Province SOUTH AFRICA,-8.1309239,-34.9330221
"Off Snipe Point, Florida Keys, Monroe County Florida USA",24.6981968,-81.6827332
"Halewia, Oahu Hawaii USA",21.5936245,-158.1236491
Crowdy Head New South Wales AUSTRALIA,-31.8413271,152.7113653
"Near Boynton Beach, Palm Beach County Florida USA",26.5280698,-80.1169697
False Bay Western Cape Province SOUTH AFRICA,-34.2148676,18.5062808
"North Pass, Fakarava Tuamotus FRENCH POLYNESIA",-16.2987775,-145.8728605
"Jensen Beach, Martin County  Florida USA",27.2380416,-80.2819491
Perth Western Australia AUSTRALIA,-32.0388311,115.4010501
Kaäó»anapali Shores Hawaii USA,20.9476477,-156.6922998
Terrigal Beach New South Wales AUSTRALIA,-33.4452789,151.4419153
Savannah Sound Eleuthera BAHAMAS,25.0836993,-76.1445118
